CV,CV_READING,CHARA,CHARA_READING
青地希望,あおちのぞみ,ウタハ,うたは
赤尾ひかる,あかおひかる,コハル,こはる
阿澄佳奈,あすみかな,イズナ,いずな
厚木那奈美,あつぎななみ,トモエ,ともえ
五十嵐裕美,いがらしひろみ,ココナ,ここな
井口裕香,いぐちゆか,モモカ,ももか
井澤詩織,いざわしおり,モエ,もえ
石上静香,いしがみしずか,サオリ,さおり
石飛恵里花,いしとびえりか,ハルカ,はるか
伊藤静,いとうしずか,シュン,しゅん
今井麻美,いまいあさみ,スミレ,すみれ
大久保瑠美,おおくぼるみ,ムツキ,むつき
大西沙織,おおにしさおり,セナ,せな
大橋彩香,おおはしあやか,セリカ,せりか
大原さやか,おおはらさやか,リン,りん
小倉唯,おぐらゆい,シロコ,しろこ
小澤亜李,おざわあり,マリー,まりー
貝原怜奈,かいはられいな,ハレ,はれ
加藤英美里,かとうえみり,カエデ,かえで
金元寿子,かねもとひさこ,ジュンコ,じゅんこ
河瀬茉希,かわせまき,シグレ,しぐれ
木戸衣吹,きどいぶき,フィーナ,ふぃーな
鬼頭明里,きとうあかり,マシロ,ましろ
久保ユリカ,くぼゆりか,イズミ,いずみ
香月はるか,こうづきはるか,チナツ,ちなつ
小清水亜美,こしみずあみ,ネル,ねる
後藤彩佐,ごとうあやさ,ツクヨ,つくよ
後藤沙緒里,ごとうさおり,ウイ,うい
小林ゆう,こばやしゆう,ツルギ,つるぎ
小原好美,こはらこのみ,アロナ,あろな
近藤玲奈,こんどうれいな,アル,ある
斎藤千和,さいとうちわ,ワカモ,わかも
佐倉綾音,さくらあやね,イオリ,いおり
佐藤聡美,さとうさとみ,ノドカ,のどか
篠原なるみ,しのはらなるみ,コトリ,ことり
嶋村侑,しまむらゆう,チセ,ちせ
社本悠,しゃもとはるか,スズミ,すずみ
白砂沙帆,しらすさほ,ツバキ,つばき
杉村ちか子,すぎもとちかこ,アイリ,あいり
鈴代紗弓,すずしろさゆみ,ノア,のあ
涼本あきほ,すずもとあきほ,セリナ,せりな
瀬戸麻沙美,せとあさみ,ハスミ,はすみ
高川みな,たかがわみな,コタマ,こたま
高田憂希,たかだゆうき,ミドリ,みどり
田所あずさ,たどころあずさ,ハルナ,はるな
田中美海,たなかみなみ,アリス,ありす
田中理恵,たなかりえ,ミモリ,みもり
田辺留依,たなべるい,ジュリ,じゅり
種田梨沙,たねだりさ,アズサ,あずさ
田村ゆかり,たむらゆかり,サヤ,さや
丹下桜,たんげさくら,チェリノ,ちぇりの
土屋李央,つちやりお,ミサキ,みさき
寺澤百花,てらさわももか,ユズ,ゆず
徳井青空,とくいそら,モモイ,ももい
富田美憂,とみたみゆ,シミコ,しみこ
友永朱音,ともながあかね,サキ,さき
豊田萌絵,とよたもえ,ハナコ,はなこ
中島優衣,なかじまゆい,キリノ,きりの
長縄まりあ,ながなわまりあ,ナツ,なつ
中原麻衣,なかはらまい,ヒヨリ,ひより
名塚佳織,なづかかおり,ヒビキ,ひびき
夏吉ゆうこ,なつよしゆうこ,カズサ,かずさ
沼倉愛美,ぬまくらまなみ,カリン,かりん
長谷川育美,はせがわいくみ,アスナ,あすな
花澤香菜,はなざわかな,アツコ,あつこ
花守ゆみり,はなもりゆみり,ホシノ,ほしの
林鼓子,はやしここ,ソラ,そら
原田彩楓,はらださやか,アヤネ,あやね
原由実,はらゆみ,アカネ,あかね
春花らん,はるからん,ユウカ,ゆうか
日高里菜,ひだかりな,ヒナタ,ひなた
平井祥恵,ひらいさちえ,マリナ,まりな
平山笑美,ひらやまえみ,フブキ,ふぶき
広橋涼,ひろはしりょう,ヒナ,ひな
ファイルーズあい,Fairouz Ai,フウカ,ふうか
福圓美里,ふくえんみさと,イロハ,いろは
藤井ゆきよ,ふじいゆきよ,カヨコ,かよこ
藤田茜,ふじたあかね,ミヤコ,みやこ
藤田咲,ふじたさき,初音ミク,はつねみく
本渡楓,ほんどかえで,ヒフミ,ひふみ
松永あかね,まつながあかね,エイミ,えいみ
真野あゆみ,まのあゆみ,ヨシミ,よしみ
三浦千幸,みうらちゆき,ノノミ,ののみ
三上枝織,みかみしおり,マキ,まき
水橋かおり,みずはしかおり,ミチル,みちる
森嶋優花,もりしまゆうか,アカリ,あかり
森永千才,もりながちとせ,シズコ,しずこ
山村響,やまむらひびく,チヒロ,ちひろ
優木かな,ゆうきかな,ハナエ,はなえ
ゆかな,ゆかな,ヒマリ,ひまり